scope,bin_left_minutes,bin_right_minutes,bin_centre_minutes,events,at_risk,hazard
Cursor,70.67524975143715,85.4493343148413,77.71198777405876,10,157,0.06369426751592357
Cursor,85.4493343148413,103.31182076510507,93.95704503246375,8,147,0.05442176870748299
Cursor,103.31182076510507,124.90831432899061,113.59799902299372,5,139,0.03597122302158273
Cursor,124.90831432899061,151.0193787406342,137.34473426201683,8,134,0.05970149253731343
Cursor,151.0193787406342,182.58874821684918,166.05553083453333,5,126,0.03968253968253968
Cursor,182.58874821684918,220.75743691578066,200.76808527754716,7,121,0.05785123966942149
Cursor,220.75743691578066,266.90497869971017,242.73701612611345,3,114,0.02631578947368421
Cursor,266.90497869971017,322.69928773394065,293.479209687908,6,111,0.05405405405405406
Cursor,322.69928773394065,390.15694203723626,354.8286449821498,6,105,0.05714285714285714
Cursor,390.15694203723626,471.7160688168355,429.0026793848764,3,99,0.030303030303030304
Cursor,471.7160688168355,570.3244658883264,518.6821907477668,6,96,0.0625
Cursor,570.3244658883264,689.5461441596664,627.1084725732994,2,90,0.022222222222222223
Cursor,689.5461441596664,833.6901419525716,758.2003843360412,3,88,0.03409090909090909
Cursor,833.6901419525716,1007.9662669072378,916.6959911231743,12,85,0.1411764705882353
Cursor,1007.9662669072378,1218.6733944620792,1108.3238118867218,4,73,0.0547945205479452
Cursor,1218.6733944620792,1473.4271285949737,1340.0098657462754,11,69,0.15942028985507245
Cursor,1473.4271285949737,1781.4350531857638,1620.1279996327248,2,58,0.034482758620689655
Cursor,1781.4350531857638,2153.8295224312533,1958.8025448843455,10,56,0.17857142857142858
Cursor,2153.8295224312533,2604.0700183823647,2368.2742417359595,4,46,0.08695652173913043
Cursor,2604.0700183823647,3148.429618042982,2863.342657338232,7,42,0.16666666666666666
Cursor,3148.429618042982,3806.5831524483892,3461.901087655731,6,35,0.17142857142857143
