bin_index,bin_left_log10_minutes,bin_right_log10_minutes,bin_left_minutes,bin_right_minutes,bin_centre_minutes,count,share,cumulative_share,density_per_minute,kde_density_per_log10_minute
59,-0.30325933686307427,-0.278261168837302,0.49743995239475497,0.526912899957141,0.5119643814474426,24,0.004321988114532685,0.10192688636772916,0.14664254755600006,0.16683526308732455
60,-0.278261168837302,-0.2532630008115295,0.526912899957141,0.5581320977630659,0.5422978906389916,29,0.005222402305060328,0.10714928867278949,0.16728175840793666,0.17351026814292683
61,-0.2532630008115295,-0.22826483278575727,0.5581320977630659,0.5912010098419278,0.5744286377111766,19,0.0034215739240050424,0.11057086259679452,0.10346799180587989,0.18050726163445868
62,-0.22826483278575727,-0.20326666475998478,0.5912010098419278,0.6262292303899899,0.6084631076730086,12,0.0021609940572663426,0.11273185665406087,0.06169294424480542,0.18784462385892953
63,-0.20326666475998478,-0.17826849673421252,0.6262292303899899,0.6633328469782103,0.6445140946911599,35,0.006302899333693499,0.11903475598775437,0.169872910332265,0.19554106323253775
64,-0.17826849673421252,-0.15327032870844026,0.6633328469782103,0.7026348252798694,0.6827010759028678,24,0.004321988114532685,0.12335674410228706,0.10996871662183554,0.20359119036689247
65,-0.15327032870844026,-0.12827216068266778,0.7026348252798694,0.744265416593022,0.7231506073769746,29,0.005222402305060328,0.12857914640734738,0.12544626776440676,0.2119647654235233
66,-0.12827216068266778,-0.10327399265689552,0.744265416593022,0.788362589508349,0.7659967435353658,35,0.006302899333693499,0.13488204574104087,0.14293205021999902,0.22062766904049963
67,-0.10327399265689552,-0.07827582463112304,0.788362589508349,0.8350724871530153,0.8113814814248158,21,0.0037817396002160996,0.13866378534125698,0.08096227546856828,0.22952063921096216
68,-0.07827582463112304,-0.053277656605350776,0.8350724871530153,0.8845499115258785,0.8594552313116112,26,0.004682153790743742,0.14334593913200072,0.09463212465262759,0.23857228218715712
69,-0.053277656605350776,-0.028279488579578294,0.8845499115258785,0.9369588365292063,0.9103773151585552,46,0.008283810552854314,0.15162974968485504,0.15806106597928335,0.24770296373661063
70,-0.028279488579578294,-0.003281320553806033,0.9369588365292063,0.9924729513971353,0.9643164946363655,32,0.005762650819376914,0.15739240050423195,0.10380514636838868,0.2568312606433598
71,-0.003281320553806033,0.02171684747196645,0.9924729513971353,1.0512762363218686,1.0214515304193525,46,0.008283810552854314,0.16567621105708627,0.14087326181619578,0.26587911609441234
72,0.02171684747196645,0.04671501549773871,1.0512762363218686,1.1135635721852912,1.081971774618954,33,0.005942733657482442,0.1716189447145687,0.09540837756350776,0.274767409864631
73,0.04671501549773871,0.07171318352351119,1.1135635721852912,1.1795413864167377,1.1460777983185144,38,0.006843147848010085,0.17846209256257878,0.1037189232126531,0.28342910335890514
74,0.07171318352351119,0.09671135154928345,1.1795413864167377,1.249428337117345,1.2139820562890344,39,0.007023230686115613,0.1854853232486944,0.10049416401357728,0.29181924046170427
75,0.09671135154928345,0.12170951957505571,1.249428337117345,1.323456037718273,1.2859095910888338,59,0.010624887448226185,0.19611021069692058,0.14352583373490588,0.29989188172184517
76,0.12170951957505571,0.1467076876008282,1.323456037718273,1.4018698245743797,1.362098778880599,40,0.007203313524221142,0.2033135242211417,0.09186284469897599,0.30762473459474476
77,0.1467076876008282,0.17170585562660046,1.4018698245743797,1.484929570037253,1.4428021194375316,40,0.007203313524221142,0.21051683774536287,0.08672448349171674,0.3150039614837467
78,0.17170585562660046,0.19670402365237294,1.484929570037253,1.5729105437022188,1.5282870729567783,48,0.00864397622906537,0.21916081397442824,0.09824824469415262,0.32202806869320455
79,0.19670402365237294,0.2217021916781452,1.5729105437022188,1.6661043246835883,1.618836946453435,44,0.007923644876643255,0.22708445885107148,0.08502332229902003,0.32870451608963774
