scheme,scheme_kind,threshold_minutes,prs,post_burst_action_prs,user_account_prs,mapped_product_prs,other_bot_prs,branch_movement_untyped_prs,no_action_within_7d_prs,user_share_all_prs,mapped_share_all_prs,user_share_post_burst_actions,mapped_share_post_burst_actions,user_minus_mapped_percentage_points_all_prs,user_minus_mapped_ci_low_pp_all_prs,user_minus_mapped_ci_high_pp_all_prs,user_minus_mapped_percentage_points_actions,user_minus_mapped_ci_low_pp_actions,user_minus_mapped_ci_high_pp_actions,user_exceeds_mapped,user_exceeds_mapped_interval_excludes_zero,modal_post_burst_action_state,user_is_modal_action_state,repositories,product
fixed_30_minutes,fixed,30,706,330,253,57,10,10,376,0.358356940509915,0.08073654390934844,0.7666666666666667,0.17272727272727273,27.762039660056658,2.683700803626623,46.46420040930106,59.3939393939394,7.8003484959647835,81.58851805335752,True,True,user_account,True,66,Devin
fixed_30_minutes,fixed,30,315,65,32,22,4,7,250,0.10158730158730159,0.06984126984126984,0.49230769230769234,0.3384615384615385,3.1746031746031744,-1.785943223443223,13.54994580924851,15.384615384615385,-7.954545454545454,60.52830940988835,True,False,user_account,True,45,Google_Jules
fixed_30_minutes,fixed,30,4550,1792,1048,328,214,202,2758,0.23032967032967033,0.07208791208791208,0.5848214285714286,0.18303571428571427,15.824175824175823,11.915716544338023,19.888663723916526,40.17857142857143,32.3138175798849,47.645790622447485,True,True,user_account,True,829,OpenAI_Codex
global_log_hazard_change_point,global_data_driven,0.9,1404,947,421,117,183,226,457,0.29985754985754987,0.08333333333333333,0.44456177402323127,0.1235480464625132,21.65242165242165,14.813448134481344,30.0719679165929,32.101372756071804,23.734698419066486,41.78611674554879,True,True,user_account,True,360,Claude_Code
global_log_hazard_change_point,global_data_driven,0.9,828,568,311,186,58,13,260,0.3756038647342995,0.2246376811594203,0.5475352112676056,0.3274647887323944,15.096618357487923,5.180952544350272,25.241879499403584,22.007042253521128,7.524041351123934,37.16627253536145,True,True,user_account,True,240,Copilot
global_log_hazard_change_point,global_data_driven,0.9,805,515,191,170,121,33,290,0.2372670807453416,0.2111801242236025,0.37087378640776697,0.3300970873786408,2.608695652173913,-6.085124044833036,11.828268360526424,4.077669902912621,-9.61570945945946,18.311539883693563,True,False,user_account,True,197,Cursor
global_log_hazard_change_point,global_data_driven,0.9,706,520,339,128,47,6,186,0.4801699716713881,0.1813031161473088,0.6519230769230769,0.24615384615384617,29.886685552407933,-8.079018506966104,60.60636566975719,40.57692307692308,-11.992381289865344,73.06753135527725,True,False,user_account,True,66,Devin
global_log_hazard_change_point,global_data_driven,0.9,315,118,68,36,6,8,197,0.21587301587301588,0.11428571428571428,0.576271186440678,0.3050847457627119,10.158730158730158,-10.641157629832989,25.50650407752675,27.11864406779661,-29.63293650793651,53.61414499706535,True,False,user_account,True,45,Google_Jules
global_log_hazard_change_point,global_data_driven,0.9,4550,2689,1095,569,766,259,1861,0.24065934065934066,0.12505494505494505,0.4072145779100037,0.2116028263294905,11.56043956043956,6.595853570797628,16.6890513032504,19.56117515805132,11.749911275483104,27.527817631410205,True,True,user_account,True,829,OpenAI_Codex
global_log_hazard_change_point_burst_region,global_data_driven,0.9,1404,947,421,117,183,226,457,0.29985754985754987,0.08333333333333333,0.44456177402323127,0.1235480464625132,21.65242165242165,14.581855175292155,30.146926753989757,32.101372756071804,23.416118871542043,41.332328006091515,True,True,user_account,True,360,Claude_Code
global_log_hazard_change_point_burst_region,global_data_driven,0.9,828,568,311,186,58,13,260,0.3756038647342995,0.2246376811594203,0.5475352112676056,0.3274647887323944,15.096618357487923,5.675096876939702,25.827760778046304,22.007042253521128,8.232612643565327,37.965084108012384,True,True,user_account,True,240,Copilot
global_log_hazard_change_point_burst_region,global_data_driven,0.9,805,515,191,170,121,33,290,0.2372670807453416,0.2111801242236025,0.37087378640776697,0.3300970873786408,2.608695652173913,-5.690840099185889,12.157943399260322,4.077669902912621,-8.989636659796556,18.37960172991368,True,False,user_account,True,197,Cursor
global_log_hazard_change_point_burst_region,global_data_driven,0.9,706,520,339,128,47,6,186,0.4801699716713881,0.1813031161473088,0.6519230769230769,0.24615384615384617,29.886685552407933,-8.431177383255905,59.30311041222739,40.57692307692308,-12.611874487284657,71.62676184387263,True,False,user_account,True,66,Devin
