days_since_trigger,merged_no_edge,merged_no_edge_low,merged_no_edge_high,merged_with_edge,merged_with_edge_low,merged_with_edge_high,merged_no_reply,merged_no_reply_low,merged_no_reply_high,merged_reply_off_target,merged_reply_off_target_low,merged_reply_off_target_high,merged_reply_on_target,merged_reply_on_target_low,merged_reply_on_target_high
23.0,0.7965343210305555,0.7530949898979606,0.8336613867361503,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7778108371274005,0.7325820204284398,0.8167873179580452,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.836939955546187,0.7700003086242879,0.8900357086582775
23.5,0.797062803313593,0.7531380437601449,0.8342667562388677,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7784332157348868,0.7325823906090924,0.8175759742918215,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.836939955546187,0.7700003086242879,0.8900357086582775
24.0,0.7981225275782741,0.7548561762563939,0.835089495870503,0.836939955546187,0.7700003086242879,0.8900357086582775,0.779055594342373,0.7335303376021055,0.8184559085785331,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
24.5,0.7991850405910199,0.7558332148387914,0.835761856340346,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7803003515573457,0.7346287336174403,0.8195517356793127,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
25.0,0.8002503719406697,0.7570431476744871,0.8369528111495395,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7815486450144061,0.7363907205495213,0.8203334643823279,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
25.5,0.8007858937317135,0.7577672267776456,0.8375230437524831,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7821763787931004,0.7371912998723231,0.8207775748141375,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
26.0,0.8007858937317135,0.7577672267776456,0.8375230437524831,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7821763787931004,0.7371912998723231,0.8207775748141375,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
26.5,0.8007858937317135,0.7577672267776456,0.8375230437524831,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7821763787931004,0.7371912998723231,0.8207775748141375,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
27.0,0.8007858937317135,0.7577672267776456,0.8375230437524831,0.836939955546187,0.7700003086242879,0.8900357086582775,0.7821763787931004,0.7371912998723231,0.8207775748141375,0.8847496556508188,0.8241229963373603,0.931968544682595,0.836939955546187,0.7700003086242879,0.8900357086582775
27.5,0.801328711459965,0.7582035993495972,0.8379579717044141,0.8462576723721191,0.7809370322687357,0.8968658589640753,0.7828114330823334,0.7371926207238185,0.8218289397646921,0.8847496556508188,0.8241229963373603,0.931968544682595,0.8462576723721191,0.7809370322687357,0.8968658589640753
28.0,0.8024263428883629,0.7594225412953645,0.8393207476782709,0.8462576723721191,0.7809370322687357,0.8968658589640753,0.7834540028069419,0.7381617785771484,0.822470898029579,0.8895517533320347,0.8290100720975462,0.9364331538290823,0.8462576723721191,0.7809370322687357,0.8968658589640753
28.5,0.8029782246121384,0.7594350034986993,0.8397719211488845,0.8462576723721191,0.7809370322687357,0.8968658589640753,0.7841004087687121,0.7388732643829085,0.8230475689740567,0.8895517533320347,0.8290100720975462,0.9364331538290823,0.8462576723721191,0.7809370322687357,0.8968658589640753
29.0,0.8029782246121384,0.7594350034986993,0.8397719211488845,0.8462576723721191,0.7809370322687357,0.8968658589640753,0.7841004087687121,0.7388732643829085,0.8230475689740567,0.8895517533320347,0.8290100720975462,0.9364331538290823,0.8462576723721191,0.7809370322687357,0.8968658589640753
29.5,0.8035347832996748,0.7602620027095077,0.8402867144107566,0.8462576723721191,0.7809370322687357,0.8968658589640753,0.7841004087687121,0.7388732643829085,0.8230475689740567,0.8945721281805785,0.8349380772914384,0.9395657104741224,0.8462576723721191,0.7809370322687357,0.8968658589640753
30.0,0.8035347832996748,0.7602620027095077,0.8402867144107566,0.8462576723721191,0.7809370322687357,0.8968658589640753,0.7841004087687121,0.7388732643829085,0.8230475689740567,0.8945721281805785,0.8349380772914384,0.9395657104741224,0.8462576723721191,0.7809370322687357,0.8968658589640753
