relative_path,is_parquet,remote_bytes,local_bytes,bytes_match,hub_blob_oid,hub_lfs_sha256,local_sha256,sha256_match
train-00148.parquet,True,7452636,7452636,True,88310dbec0bc735b4c789849980b2de0d5d30746,1b3418b01f31ba49c91ff8734f01cef5e8341b07ca1ba1bd6aa8b9c6df67cd40,1b3418b01f31ba49c91ff8734f01cef5e8341b07ca1ba1bd6aa8b9c6df67cd40,True
train-00149.parquet,True,6568192,6568192,True,fd1c5e6a11ab77aeeeff28a0b5a5d587786979ea,cce2f67c41f556aa8a3332c1bff6e93c004b14c806a6d1668979cb3994c060ab,cce2f67c41f556aa8a3332c1bff6e93c004b14c806a6d1668979cb3994c060ab,True
train-00150.parquet,True,6398968,6398968,True,1238fd05735f4e68cc02bcfdb69076fe0da2b2fa,74145312052e4d0b524898feea5df2e554815be1c649a1904cdfdcea3fde7ff8,74145312052e4d0b524898feea5df2e554815be1c649a1904cdfdcea3fde7ff8,True
train-00151.parquet,True,6626250,6626250,True,f85c1f3c6f2905ce6c08251d23221cc7a722e0fb,c61c84074ced6dd60ef15c97bbf12bbcf9050cdbdc60540f15708151b1c22831,c61c84074ced6dd60ef15c97bbf12bbcf9050cdbdc60540f15708151b1c22831,True
train-00152.parquet,True,6670786,6670786,True,d79f133a2af9090dd68ffbd04ac85b15c049d54d,f9ccbd7d53914cb9605309b07e787391b77561db3aac3978a9fed017900c5427,f9ccbd7d53914cb9605309b07e787391b77561db3aac3978a9fed017900c5427,True
train-00153.parquet,True,6986949,6986949,True,dbca368fc4f3d3f40df67534efcfc79c4be220b8,889f548da86d0485962902dc1dea134f083bf06a174745b8db295dc2a1760d7a,889f548da86d0485962902dc1dea134f083bf06a174745b8db295dc2a1760d7a,True
train-00154.parquet,True,6421097,6421097,True,a99929b97c355b83320809c3c9aef116dde36ff1,e982adba1e6dc365a6aacd7e5ef0baa923d6db6f9f9177fd2fcc348700f81ded,e982adba1e6dc365a6aacd7e5ef0baa923d6db6f9f9177fd2fcc348700f81ded,True
train-00155.parquet,True,6729956,6729956,True,49090ce332d3e664fbc4d433acc761bb0648d823,29da4b35a4cee954525c00aead511b14e1df5fb62615df8e18d91afba99bd7e2,29da4b35a4cee954525c00aead511b14e1df5fb62615df8e18d91afba99bd7e2,True
train-00156.parquet,True,6355850,6355850,True,10792a16ef2b57136fc61410ac78050459c1c322,88b067aaac568b4037f570f743f7414254dc0b4c1828fce1333abf005fc893e8,88b067aaac568b4037f570f743f7414254dc0b4c1828fce1333abf005fc893e8,True
train-00157.parquet,True,6301307,6301307,True,c6c1d4d4ffc999a8034cd3dd520ab0248ffa1be9,497f1a79b6a6fa2e655bb03685d91ea2b1e7b831440a3fd994350f76a31f7a13,497f1a79b6a6fa2e655bb03685d91ea2b1e7b831440a3fd994350f76a31f7a13,True
train-00158.parquet,True,6275441,6275441,True,57eb22462aeeb7746b44f0639a6ddd18be738bb3,0034c24ec3c9a0d9a44da69c7aab2eec96e3e015e827a372b9a35db177e10fb8,0034c24ec3c9a0d9a44da69c7aab2eec96e3e015e827a372b9a35db177e10fb8,True
train-00159.parquet,True,6556435,6556435,True,94ee6c6c62cdb470d922824a37ebac163859f1e9,ff4a61c87ff5cdd1857a5a962715886cb4e547fa9f8353f444dd3b8ea6464311,ff4a61c87ff5cdd1857a5a962715886cb4e547fa9f8353f444dd3b8ea6464311,True
