omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
Cursor -> OpenAI_Codex,user_account,exact_owner_persistence,1456,484,0.30975274725274726,0.30962059620596205,0.0001321510467852116
Cursor -> OpenAI_Codex,user_account,layer_persistence,1456,484,0.5432692307692307,0.540650406504065,0.0026188242651656868
Cursor -> OpenAI_Codex,user_account,cross_layer_handoff,1456,484,0.3159340659340659,0.31910569105691056,-0.0031716251228446346
Cursor -> OpenAI_Codex,mapped_product,exact_owner_persistence,627,239,0.4433811802232855,0.4447900466562986,-0.001408866433013134
Cursor -> OpenAI_Codex,mapped_product,layer_persistence,627,239,0.529505582137161,0.5334370139968896,-0.003931431859728551
Cursor -> OpenAI_Codex,mapped_product,cross_layer_handoff,627,239,0.3317384370015949,0.3297045101088647,0.002033926892730187
Cursor -> OpenAI_Codex,user_minus_mapped,exact_owner_persistence,2083,599,-0.13362843297053822,-0.13516945045033657,0.0015410174797983456
Cursor -> OpenAI_Codex,user_minus_mapped,layer_persistence,2083,599,0.013763648632069692,0.0072133925071754534,0.006550256124894238
Cursor -> OpenAI_Codex,user_minus_mapped,cross_layer_handoff,2083,599,-0.015804371067528966,-0.010598819051954145,-0.005205552015574821
Devin -> Claude_Code,user_account,exact_owner_persistence,1454,489,0.3115543328748281,0.30962059620596205,0.0019337366688660373
Devin -> Claude_Code,user_account,layer_persistence,1454,489,0.5440165061898212,0.540650406504065,0.0033660996857561853
Devin -> Claude_Code,user_account,cross_layer_handoff,1454,489,0.31361760660247595,0.31910569105691056,-0.005488084454434605
Devin -> Claude_Code,mapped_product,exact_owner_persistence,638,244,0.445141065830721,0.4447900466562986,0.0003510191744223734
Devin -> Claude_Code,mapped_product,layer_persistence,638,244,0.5344827586206896,0.5334370139968896,0.0010457446238000268
Devin -> Claude_Code,mapped_product,cross_layer_handoff,638,244,0.329153605015674,0.3297045101088647,-0.0005509050931907233
Devin -> Claude_Code,user_minus_mapped,exact_owner_persistence,2092,606,-0.1335867329558929,-0.13516945045033657,0.001582717494443664
Devin -> Claude_Code,user_minus_mapped,layer_persistence,2092,606,0.009533747569131612,0.0072133925071754534,0.0023203550619561586
Devin -> Claude_Code,user_minus_mapped,cross_layer_handoff,2092,606,-0.015535998413198027,-0.010598819051954145,-0.004937179361243882
Devin -> Copilot,user_account,exact_owner_persistence,1381,480,0.30195510499637945,0.30962059620596205,-0.007665491209582598
Devin -> Copilot,user_account,layer_persistence,1381,480,0.5228095582910934,0.540650406504065,-0.017840848212971605
Devin -> Copilot,user_account,cross_layer_handoff,1381,480,0.33019551049963797,0.31910569105691056,0.011089819442727411
Devin -> Copilot,mapped_product,exact_owner_persistence,627,239,0.44657097288676234,0.4447900466562986,0.0017809262304637197
Devin -> Copilot,mapped_product,layer_persistence,627,239,0.532695374800638,0.5334370139968896,-0.0007416391962515867
Devin -> Copilot,mapped_product,cross_layer_handoff,627,239,0.33014354066985646,0.3297045101088647,0.00043903056099175997
Devin -> Copilot,user_minus_mapped,exact_owner_persistence,2008,598,-0.1446158678903829,-0.13516945045033657,-0.009446417440046317
Devin -> Copilot,user_minus_mapped,layer_persistence,2008,598,-0.009885816509544565,0.0072133925071754534,-0.01709920901672002
Devin -> Copilot,user_minus_mapped,cross_layer_handoff,2008,598,5.196982978150633e-05,-0.010598819051954145,0.010650788881735651
Devin -> Cursor,user_account,exact_owner_persistence,1468,487,0.30926430517711173,0.30962059620596205,-0.0003562910288503196
Devin -> Cursor,user_account,layer_persistence,1468,487,0.5408719346049047,0.540650406504065,0.0002215281008396408
Devin -> Cursor,user_account,cross_layer_handoff,1468,487,0.3194822888283379,0.31910569105691056,0.00037659777142734496
Devin -> Cursor,mapped_product,exact_owner_persistence,619,240,0.43618739903069464,0.4447900466562986,-0.008602647625603976
Devin -> Cursor,mapped_product,layer_persistence,619,240,0.5250403877221325,0.5334370139968896,-0.008396626274757124
Devin -> Cursor,mapped_product,cross_layer_handoff,619,240,0.3360258481421648,0.3297045101088647,0.006321338033300095
Devin -> Cursor,user_minus_mapped,exact_owner_persistence,2087,603,-0.1269230938535829,-0.13516945045033657,0.008246356596753657
Devin -> Cursor,user_minus_mapped,layer_persistence,2087,603,0.01583154688277222,0.0072133925071754534,0.008618154375596765
Devin -> Cursor,user_minus_mapped,cross_layer_handoff,2087,603,-0.016543559313826894,-0.010598819051954145,-0.00594474026187275
Devin -> OpenAI_Codex,user_account,exact_owner_persistence,1468,491,0.31130790190735697,0.30962059620596205,0.0016873057013949144
