exclusion_unit,excluded_group,n_prs,automation_then_user_vs_automation_only,user_first_vs_automation_only
repository,461368002,1732,0.1328261400377507,0.07084658847419201
repository,461921306,1732,0.132920106749431,0.07200905948102772
repository,462597790,1705,0.1258546212889357,0.07071444409955921
repository,463628495,1732,0.1325838526079223,0.070897452397744
repository,464350186,1729,0.132797427927352,0.0707944206839741
repository,464415161,1732,0.1326377649273941,0.070709232513645
repository,467844167,1732,0.1326214760231864,0.0720861505310159
repository,470727349,1729,0.1323797555535578,0.07120440264371439
repository,476642602,1708,0.1233445523308502,0.05794952082993421
repository,476820102,1732,0.13232241757972152,0.0694266051139222
repository,47765186,1732,0.13262694303518108,0.07061635767448189
repository,47776025,1732,0.1326400528537846,0.0699155344086728
repository,479289739,1732,0.1312780302358268,0.0690705202210479
repository,479469128,1732,0.132883101684702,0.07208911821689959
repository,48030204,1731,0.13278363172912108,0.0708459082970844
repository,480614136,1732,0.1327805208530827,0.06994710398107029
repository,481196344,1725,0.13713198163845292,0.07761343111571539
repository,48266773,1732,0.1328183924840332,0.07214496471388919
repository,485538823,1732,0.1327537118854264,0.0708647898138424
repository,486815039,1730,0.13409110448465222,0.0695383982236246
repository,490124346,1732,0.1326046908499408,0.0715305461069715
repository,496206645,1732,0.1327497005141392,0.07078214430690069
repository,500289888,1732,0.1324905442993498,0.06980204823395979
repository,504440915,1732,0.13277963739447682,0.07080250473585431
repository,50448254,1732,0.1326414736342449,0.0707289938714899
repository,50626524,1732,0.1284279550238257,0.07037793008389231
repository,509028,1730,0.13242197148260287,0.0722517751557424
repository,509436902,1732,0.1327711961257414,0.0707820918799412
repository,514553345,1732,0.1328361506539399,0.0717918424461671
repository,514809323,1732,0.1361865801141837,0.073547461453224
repository,515302020,1732,0.13249644735101862,0.0715490218419053
repository,517581241,1732,0.13287150039166573,0.07009425435211582
repository,5179099,1732,0.132451835163025,0.07049836046660789
repository,518698474,1731,0.1277690871484831,0.0706953733207144
repository,51879362,1732,0.13285365959731948,0.07085891640915451
repository,519909104,1732,0.1327628467238103,0.07098197240996501
repository,521404205,1732,0.132641473634245,0.07072899387148981
repository,532097222,1732,0.13262694303518102,0.070616357674482
repository,53311716,1731,0.13117191108471588,0.0702053160306849
repository,539537904,1730,0.1357511689981059,0.07303668020166151
repository,540515813,1732,0.1328691696255403,0.07065362609845141
repository,540527604,1732,0.1326623975757142,0.07069983143574401
repository,542017915,1731,0.1327120966757858,0.07097615200580379
repository,542889195,1731,0.1324208498595111,0.0690003452225127
repository,54376220,1732,0.13266322903436062,0.0710627241268978
repository,54585666,1732,0.1328536595973192,0.07085891640915438
repository,553878560,1732,0.13298180239744062,0.071799278592446
repository,560284721,1732,0.1315111978700568,0.0695673180411884
repository,561356395,1732,0.13288310168470152,0.0720891182168991
repository,56342508,1728,0.1326019902615144,0.0727026317176181
repository,564072810,1732,0.1325473323634314,0.0691905029269051
repository,565750987,1730,0.12952803023971599,0.0674037063259016
repository,568098118,1729,0.1285972797568829,0.06948770151799989
repository,568430347,1732,0.1357581238492735,0.07101712977526
repository,568889436,1732,0.13266247969091483,0.0705361073809908
repository,5702425,1732,0.1328607854532601,0.07075727283527722
repository,570615386,1732,0.13267289921125092,0.0707086756413406
repository,57104860,1732,0.1325471065769504,0.0718102717992462
repository,57330209,1724,0.1328546910935195,0.07078379002080849
repository,57452143,1732,0.1327723095349191,0.07008865134336122
repository,575865240,1732,0.1326281179093871,0.0707119880580641
repository,575872406,1732,0.1328270371753753,0.0707859632991194
repository,577492459,1732,0.1310250793353953,0.0709046258346206
repository,580974564,1731,0.1326151417156355,0.0719831578649925
repository,58146669,1731,0.13229307665360862,0.0703503758731306
repository,586920414,1727,0.1342668354246881,0.0715299502130813
repository,5870069,1732,0.1325892951769138,0.0704545417545297
repository,587050620,1732,0.1327096713657427,0.0701687105531726
repository,590452775,1732,0.132626943035181,0.0706163576744813
repository,593184777,1732,0.1324789123453523,0.07184348631119229
repository,594155488,1729,0.1329869072831248,0.07296100121789029
repository,595662105,1729,0.1347970055577607,0.07145043171580509
repository,595832198,1731,0.1328093300335279,0.07099912535816279
repository,597879,1731,0.1326280926359767,0.0689911517730693
repository,599431918,1731,0.1327544115641454,0.07134513687108
repository,599547518,1731,0.13291743504264109,0.0696100505436875
repository,600113513,1725,0.1321284606578245,0.07253643479581229
repository,60024365,1731,0.12893697808204008,0.07116097404267989
repository,601303277,1727,0.13421025445320023,0.0722325586712227
repository,609765386,1732,0.1325787407450503,0.0694506697921039
repository,614258120,1730,0.1321686521900291,0.07289827011537439
repository,614625634,1732,0.1328423740371783,0.07100895864754378
repository,614765452,1708,0.137996211550383,0.06893573506358319
repository,617799085,1730,0.1378220152375867,0.0729381908261801
repository,61980658,1730,0.13278290091469608,0.0708941241111271
repository,621575252,1732,0.13270967136574252,0.07016871055317249
repository,621614524,1732,0.1326565927998462,0.0705700673711472
repository,624615692,1732,0.13237074946498412,0.0704204080582732
repository,626978831,1732,0.1325964776358978,0.0718319670601493
repository,628067244,1731,0.1329081343087966,0.07284909902292981
repository,632024122,1732,0.1325591077478789,0.07136199629514062
repository,6323414,1732,0.1327893313217647,0.0707621860610387
repository,632871628,1731,0.1328045125907738,0.0707400236293294
repository,633112512,1732,0.1308574093897205,0.068903059483266
repository,633927609,1721,0.13622220027871162,0.07160793695192559
repository,635850823,1731,0.1326750320134597,0.070193165737857
repository,63882194,1732,0.13277230953491892,0.07008865134336138
repository,63995402,1732,0.13276234065126358,0.06977989679768772
repository,642983964,1732,0.1328718163572098,0.07094278467551292
repository,643971174,1732,0.13276141441910488,0.0724788669168183
repository,644461337,1732,0.1326296331756152,0.0717650651007921
repository,647353967,1732,0.1328347575651783,0.0696657558513901
repository,651622038,1730,0.13044588463759269,0.06715886954637651
repository,653048276,1732,0.13262694303518152,0.0706163576744822
repository,653589102,1723,0.12498752718678381,0.06752780118163211
repository,654560183,1728,0.1304178226041439,0.0680936376250644
repository,655181249,1732,0.13237074946498412,0.0704204080582732
repository,65600975,1730,0.1326205677131079,0.0715408611233152
repository,657204276,1732,0.1313168730730597,0.06939033076266451
repository,658849262,1731,0.1303844019854507,0.06833764991000231
repository,658914776,1732,0.13270994948580067,0.070712134371281
repository,66466789,1729,0.1308185849312982,0.0716583042934325
repository,665613753,1732,0.131719144043204,0.0698392830170629
repository,66571349,1732,0.1326296331756156,0.0717650651007922
repository,6673802,1731,0.1326903440991881,0.0698564833285602
repository,668453226,1732,0.13262694303518158,0.07061635767448231
repository,668493044,1722,0.1324823734445353,0.07453992175693999
repository,668673665,1732,0.13131687307305961,0.06939033076266439
repository,668906267,1730,0.1328025991647115,0.0714487387806812
repository,669466632,1731,0.1369100005416033,0.0748569514147766
repository,669533784,1732,0.13268187601049958,0.0718138126849125
repository,671269505,1729,0.1328300408612244,0.07170887277175592
repository,674372480,1732,0.1328019091876767,0.06967518991885069
repository,677083126,1731,0.13183828436160272,0.07006758501925411
repository,67747748,1732,0.1326269430351805,0.07061635767448171
repository,677526746,1732,0.1313167011489922,0.06925759489640079
repository,678910533,1731,0.1327139286194515,0.0712557927461498
